Format Version,1.24,Take Name,Take 2024-02-14 04.05.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.05.12.771 PM,Capture Start Frame,396467,Total Frames in Take,1977,Total Exported Frames,1977,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
202,1.683333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
203,1.691667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
204,1.700000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
205,1.708333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
206,1.716667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
207,1.725000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
208,1.733333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
209,1.741667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
210,1.750000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
211,1.758333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
212,1.766667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
213,1.775000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
214,1.783333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
215,1.791667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
216,1.800000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
217,1.808333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
218,1.816667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
219,1.825000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
220,1.833333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
221,1.841667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
222,1.850000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
223,1.858333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
224,1.866667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
