=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:05:10 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
21789,-2.29,-0.11,0.08,0.18,0.06,-0.02,3,2,3,0
21849,-2.22,-0.11,0.09,0.18,0.06,-0.02,3,2,3,0
21909,-2.19,-0.12,0.09,0.18,0.06,-0.02,3,2,3,0
21969,-2.15,-0.12,0.09,0.18,0.06,-0.02,3,2,3,0
22029,-2.14,-0.13,0.09,0.18,0.06,-0.02,3,2,3,0
22089,-2.14,-0.14,0.10,0.18,0.06,-0.02,3,2,3,0
22150,-2.13,-0.14,0.11,0.18,0.06,-0.02,3,2,3,0
22209,-2.15,-0.12,0.09,0.18,0.06,-0.02,3,2,3,0
22269,-2.18,-0.11,0.08,0.18,0.06,-0.02,3,2,3,0
22330,-2.22,-0.10,0.07,0.18,0.06,-0.02,3,2,3,0
22390,-2.25,-0.09,0.07,0.18,0.06,-0.02,3,2,3,0
22450,-2.28,-0.10,0.08,0.18,0.06,-0.02,3,2,3,0
22510,-2.32,-0.15,0.12,0.18,0.06,-0.02,3,2,3,0
22571,-2.33,-0.14,0.14,0.18,0.06,-0.02,3,2,3,0
22632,-2.33,-0.13,0.16,0.18,0.06,-0.02,3,2,3,0
22693,-2.31,-0.13,0.16,0.18,0.06,-0.02,3,2,3,0
22753,-2.29,-0.12,0.16,0.18,0.06,-0.02,3,2,3,0
22812,-2.28,-0.12,0.16,0.18,0.06,-0.02,3,2,3,0
22874,-2.27,-0.12,0.15,0.18,0.06,-0.02,3,2,3,0
22937,-2.27,-0.12,0.15,0.18,0.06,-0.02,3,2,3,0
23000,-2.27,-0.11,0.13,0.18,0.06,-0.02,3,2,3,0
23060,-2.26,-0.11,0.12,0.18,0.06,-0.02,3,2,3,0
23120,-2.25,-0.11,0.10,0.18,0.06,-0.02,3,2,3,0
23182,-2.24,-0.12,0.08,0.18,0.06,-0.02,3,2,3,0
23242,-2.23,-0.12,0.07,0.18,0.06,-0.02,3,2,3,0
23303,-2.24,-0.14,0.07,0.18,0.06,-0.02,3,2,3,0
23362,-2.23,-0.13,0.07,0.18,0.06,-0.02,3,2,3,0
23424,-2.23,-0.13,0.09,0.18,0.06,-0.02,3,2,3,0
23487,-2.23,-0.18,0.09,0.18,0.06,-0.02,3,2,3,0
23550,-2.24,-0.22,0.12,0.18,0.06,-0.02,3,2,3,0
23611,-2.28,-0.23,0.14,0.18,0.06,-0.02,3,2,3,0
23671,-2.33,-0.24,0.14,0.18,0.06,-0.02,3,2,3,0
23733,-2.41,-0.22,0.16,0.18,0.06,-0.02,3,2,3,0
23794,-2.45,-0.21,0.19,0.18,0.06,-0.02,3,2,3,0
